estado,cod_mun6,municipio,casos_acumulados,pop_pessoa_ano,pop_media,incidencia_media_anual,incidencia_mediana_anual,incidencia_max_anual,anos_com_casos,anos_zero,incidencia_periodo_100mil_pessoa_ano,log_casos_acumulados_mais1,log_inc_periodo_mais1
RJ,330230,LAJE DO MURIAE,95,180652,7527.166666666667,52.65255743635834,54.01791133271707,108.68088574921885,22,2,52.587294909549854,4.564348191467836,3.9813120047098645
RJ,330240,MACAE,2825,4957226,206551.08333333334,57.89335315330893,56.41701550182758,75.96999875685457,24,0,56.98751680879589,7.946617563244473,4.060227759947118
RJ,330245,MACUCO,51,126225,5259.375,40.123691880212355,37.48599676182253,124.95537308104248,18,6,40.4040404040404,3.9512437185814275,3.7233784703697475
RJ,330250,MAGE,4510,5387978,224499.08333333334,83.71028919423229,84.80552244248196,127.38488256834137,24,0,83.70487036138604,8.414274137408396,4.439173101319937
RJ,330260,MANGARATIBA,514,862878,35953.25,60.07879522579564,60.09685341702925,115.96892032935175,24,0,59.56809653276593,6.244166900663736,4.103768294591275
RJ,330270,MARICA,1680,3395562,141481.75,52.29712413138253,49.29517213741292,92.8879189748755,24,0,49.47634588913411,7.427144133408616,3.921504828313626
RJ,330280,MENDES,224,424639,17693.291666666668,52.830585623295725,61.68355907485233,121.01653892698668,24,0,52.75068940912163,5.41610040220442,3.9843564931417332
RJ,330285,MESQUITA,3155,4038670,168277.91666666666,78.00610383446785,80.6221063439064,114.81124911051181,23,1,78.11977705531771,8.057060681965766,4.37096286950611
RJ,330290,MIGUEL PEREIRA,206,606732,25280.5,34.509007550515406,25.233534084044923,87.05745792222866,22,2,33.95238754507756,5.332718793265369,3.5539867795104603
RJ,330300,MIRACEMA,312,647839,26993.291666666668,48.14652533019635,46.95029440786071,100.42027745750734,24,0,48.16011385544865,5.746203190540153,3.895082600713229
RJ,330310,NATIVIDADE,99,362807,15116.958333333334,27.29133151748915,26.499739637358843,72.89112716188457,24,0,27.287235362051998,4.605170185988092,3.342410655619456
RJ,330320,NILOPOLIS,3747,3683170,153465.41666666666,101.41503807685694,92.17262506664017,176.11105355847923,24,0,101.7330180252337,8.228977643358313,4.632133565023388
RJ,330330,NITEROI,12962,11576382,482349.25,112.49284674193693,100.8548192858137,198.18775043921522,24,0,111.96935277360406,9.469854424600042,4.727116567534181
RJ,330340,NOVA FRIBURGO,1256,4417187,184049.45833333334,28.31924363632694,28.599445045518205,39.48636141076872,24,0,28.43438595649222,7.136483208590247,3.3821635812635558
