estado,cod_mun6,municipio,periodo,casos_total,pop_pessoa_ano,incidencia_media_anual,incidencia_mediana_anual,incidencia_periodo_100mil_pessoa_ano,log_inc_periodo_mais1
SP,354180,QUEIROZ,2001–2005,3,11734,25.378136559393145,40.50222762251924,25.56672916311573,3.279659649563777
SP,354180,QUEIROZ,2006–2010,3,13344,22.898313904891644,36.53635367190354,22.48201438848921,3.1562347829533057
SP,354180,QUEIROZ,2011–2015,1,14582,7.032348804500704,0.0,6.857769853243725,2.0615028324970934
SP,354180,QUEIROZ,2016–2019,2,12343,16.4102212789352,16.307893020221787,16.203516163007375,2.8451137910086586
SP,354180,QUEIROZ,2020–2024,2,16332,12.329048217997485,0.0,12.24589762429586,2.5836878912314605
SP,354190,QUELUZ,2001–2005,12,48632,25.095772284224005,20.57189878625797,24.675111037999674,3.2455220805569613
SP,354190,QUELUZ,2006–2010,16,54179,29.080675884309063,19.280825219319386,29.53173738902527,3.418766712727521
SP,354190,QUELUZ,2011–2015,16,53657,29.509332010882407,36.63674665689687,29.81903572693218,3.428132542151773
SP,354190,QUELUZ,2016–2019,6,39658,15.04822271379188,15.357327809425168,15.129355993746534,2.7806409653478985
SP,354190,QUELUZ,2020–2024,8,46265,17.40965164905797,10.540739959945189,17.291689181886955,2.906446813626894
SP,354200,QUINTANA,2001–2005,2,28032,7.135212272565108,0.0,7.134703196347032,2.09613925522939
SP,354200,QUINTANA,2006–2010,3,29439,10.125744832135577,0.0,10.19056353816366,2.415070881928302
SP,354200,QUINTANA,2011–2015,5,31242,16.00971925747961,16.00768368817032,16.004097048844507,2.8334543178928953
SP,354200,QUINTANA,2016–2019,4,26526,14.983547893068888,15.182944396427544,15.079544597753147,2.7775479423145204
