estado,origem,destino
SP,350210,353210
SP,350210,353320
SP,350210,352044
SP,350210,353010
SP,350220,350690
SP,350220,353580
SP,350220,350945
SP,350220,352350
SP,350220,350800
SP,350220,351850
SP,350220,352230
SP,350230,354700
SP,350230,350750
SP,350230,350690
SP,350230,351230
SP,350230,353870
SP,350240,355290
SP,350240,353920
SP,350240,354240
SP,350240,354140
SP,350240,353220
SP,350250,354430
SP,350250,354075
SP,350250,351840
SP,350250,352630
SP,350260,354450
SP,350260,355255
SP,350260,355230
SP,350260,353520
SP,350260,354660
SP,350260,352910
SP,350260,353284
SP,350270,352120
SP,350270,354280
SP,350270,352215
SP,350270,353282
SP,350270,351760
SP,350270,350715
SP,350270,350535
SP,350270,354300
SP,350275,353910
SP,350275,352250
SP,350275,352390
SP,350275,354730
SP,350275,355060
SP,350275,350840
SP,350280,353740
SP,350280,350640
SP,350280,355630
SP,350280,352650
SP,350280,354805
SP,350280,351650
SP,350280,350650
SP,350280,350810
SP,350280,351820
SP,350280,353010
SP,350290,351030
SP,350290,352100
SP,350290,354530
SP,350290,355110
SP,350290,355220
SP,350300,352410
SP,350300,352970
SP,350300,350820
SP,350300,352010
SP,350310,351140
SP,350310,350450
SP,350310,352180
SP,350315,350490
SP,350315,354960
SP,350320,350670
SP,350320,354290
SP,350320,350170
SP,350320,354690
SP,350320,351930
SP,350320,354890
SP,350320,352930
SP,350320,351685
SP,350320,354370
SP,350320,353205
SP,350330,354670
SP,350330,351240
SP,350330,354390
SP,350330,352670
SP,350330,351270
SP,350330,352690
SP,350330,353070
SP,350330,351220
SP,350330,351515
SP,350335,351900
SP,350335,352770
SP,350335,354840
SP,350335,355500
SP,350335,351920
SP,350335,354180
SP,350340,351910
SP,350340,354250
SP,350340,350520
SP,350340,350600
SP,350340,353670
SP,350340,352200
SP,350350,355200
SP,350350,354190
SP,350350,351360
SP,350350,354960
SP,350360,355010
SP,350360,352800
SP,350360,352680
SP,350360,352000
SP,350370,353130
SP,350370,353510
SP,350370,351560
SP,350370,355690
SP,350370,353900
SP,350370,353810
SP,350370,354560
SP,350380,352690
SP,350380,353080
SP,350380,351515
SP,350380,351905
SP,350380,351280
SP,350390,353060
SP,350390,354680
SP,350390,352310
SP,350390,351880
SP,350395,354765
SP,350395,354720
SP,350395,355580
SP,350395,354570
SP,350395,354740
SP,350400,352880
SP,350400,353550
SP,350400,351470
SP,350400,355395
SP,350400,353970
SP,350400,352790
SP,350400,351000
SP,350410,350960
SP,350410,350710
SP,350410,353860
SP,350410,352850
SP,350410,352520
SP,350410,351640
SP,350410,351630
SP,350410,350760
SP,350410,353240
SP,350420,351690
SP,350420,353520
SP,350420,351890
SP,350420,354025
SP,350420,351385
SP,350420,354805
SP,350430,353890
SP,350430,354250
SP,350430,350600
SP,350430,351660
SP,350430,354110
SP,350430,351450
SP,350430,353940
SP,350440,350110
SP,350440,350510
SP,350440,354160
SP,350440,353730
SP,350450,352680
SP,350450,353580
SP,350450,351140
SP,350450,354105
SP,350450,350745
SP,350450,351925
SP,350450,350750
SP,350450,352180
SP,350450,352350
SP,350450,350310
SP,350460,353030
SP,350460,354080
SP,350460,354980
SP,350460,353280
SP,350460,351130
SP,350470,355590
SP,350470,353890
SP,350480,353030
SP,350480,353040
SP,350480,355340
SP,350480,353140
SP,350480,353250
SP,350490,350315
SP,350490,354960
SP,350500,352280
SP,350500,351540
SP,350510,355535
SP,350510,355715
SP,350510,353730
SP,350510,350440
SP,350510,352570
SP,350510,354160
SP,350520,352530
SP,350520,350670
SP,350520,350680
SP,350520,350730
SP,350520,353670
SP,350520,352290
SP,350520,350340
SP,350520,352200
SP,350530,352530
SP,350530,352800
SP,350530,352000
SP,350530,355010
SP,350530,352980
SP,350535,350270
SP,350535,352265
SP,350535,350715
SP,350535,354280
SP,350540,352120
SP,350540,350925
SP,350540,350990
SP,350540,351480
SP,350540,352460
SP,350550,351210
SP,350550,353190
SP,350550,351790
SP,350550,351740
SP,350550,355190
SP,350550,351200
SP,350550,352420
SP,350550,353390
SP,350560,351460
SP,350560,351885
SP,350560,352430
SP,350560,354090
SP,350560,355170
SP,350570,352250
SP,350570,353440
SP,350570,355030
SP,350570,354730
SP,350570,352500
SP,350570,351060
SP,350580,354220
SP,350580,355500
SP,350580,351920
SP,350580,353600
SP,350590,354950
SP,350590,354490
SP,350590,352510
SP,350590,353630
SP,350590,350100
SP,350590,351620
SP,350590,354270
SP,350590,350780
SP,350590,353360
SP,350600,354250
SP,350600,350070
SP,350600,350340
SP,350600,350430
SP,350600,353670
SP,350600,351450
SP,350600,353940
SP,350610,355365
SP,350610,355680
SP,350610,355320
SP,350610,353900
SP,350610,353150
SP,350610,353950
SP,350610,355440
SP,350610,355310
SP,350610,351200
SP,350620,355630
SP,350620,352740
SP,350620,354440
SP,350620,351820
SP,350630,354640
SP,350630,353380
SP,350630,353880
SP,350630,352090
SP,350635,351870
SP,350635,350660
SP,350635,354850
SP,350635,353060
SP,350635,355070
SP,350635,354500
SP,350640,350280
SP,350640,350650
SP,350640,351190
SP,350640,351250
SP,350640,351650
SP,350650,350280
SP,350650,350640
SP,350650,350810
SP,350650,350775
SP,350650,351250
SP,350660,353060
SP,350660,350635
SP,350660,351830
SP,350660,354500
SP,350670,351960
SP,350670,350520
SP,350670,354290
SP,350670,350680
SP,350670,355475
SP,350670,350320
SP,350670,351430
SP,350670,352200
SP,350670,353290
SP,350670,351685
SP,350680,352530
SP,350680,351430
SP,350680,350520
SP,350680,350670
SP,350690,355465
SP,350690,353610
SP,350690,350220
SP,350690,351230
SP,350690,351850
SP,350690,350750
SP,350690,350230
SP,350690,354050
SP,350690,352350
SP,350700,354060
SP,350700,352100
SP,350700,355400
SP,350700,351150
SP,350700,355450
SP,350710,353240
SP,350710,350410
SP,350710,353860
SP,350715,350270
SP,350715,353282
SP,350715,352320
SP,350715,350535
SP,350720,354170
SP,350720,353550
SP,350720,354200
SP,350720,352790
SP,350730,352290
SP,350730,353670
SP,350730,350520
SP,350740,352270
SP,350740,351960
SP,350740,352190
SP,350740,353890
SP,350740,351910
SP,350740,353350
SP,350740,354250
SP,350745,351925
SP,350745,350070
SP,350745,352680
SP,350745,350450
SP,350750,351410
SP,350750,352680
SP,350750,350450
SP,350750,354105
SP,350750,355010
SP,350750,353610
SP,350750,354700
SP,350750,350690
SP,350750,350230
SP,350750,352350
SP,350760,353680
SP,350760,353860
SP,350760,352520
SP,350760,355495
SP,350760,350410
SP,350760,352340
SP,350760,353200
SP,350760,355635
SP,350760,353820
SP,350770,350110
SP,350770,352770
SP,350770,351190
SP,350770,351250
SP,350770,351710
SP,350770,353730
SP,350775,351250
SP,350775,351710
SP,350775,350650
SP,350775,350810
SP,350780,350100
SP,350780,355150
SP,350780,354340
SP,350780,350590
SP,350780,352510
SP,350790,351410
SP,350790,354890
SP,350790,354290
SP,350790,352360
SP,350790,355040
SP,350790,355470
SP,350790,351430
SP,350800,355385
SP,350800,352240
SP,350800,353580
SP,350800,350945
SP,350800,350220
SP,350800,351020
SP,350800,352230
SP,350810,350280
SP,350810,355715
SP,350810,353960
SP,350810,354805
SP,350810,355520
SP,350810,350650
SP,350810,350775
SP,350810,351710
SP,350810,352725
SP,350820,353700
SP,350820,352010
SP,350820,352410
SP,350820,350300
SP,350820,352540
SP,350830,353657
SP,350830,354640
SP,350830,352750
SP,350830,351450
SP,350830,353940
SP,350840,353910
SP,350840,352390
SP,350840,352590
SP,350840,352050
SP,350840,350275
SP,350840,352400
SP,350850,355410
SP,350850,352490
SP,350850,354230
SP,350850,353170
SP,350850,354990
SP,350860,350995
SP,350860,352720
SP,350860,355200
SP,350860,351340
SP,350860,353850
SP,350870,355360
SP,350870,351390
SP,350870,354970
SP,350880,354010
SP,350880,352710
SP,350880,352580
SP,350880,353350
SP,350880,354460
SP,350880,351730
SP,350880,351810
SP,350890,352920
SP,350890,352890
SP,350890,354240
SP,350890,354140
SP,350890,352060
SP,350900,352850
SP,350900,350920
SP,350900,351640
SP,350900,355030
SP,350910,352870
SP,350910,353540
SP,350910,354150
SP,350910,354130
SP,350920,353910
SP,350920,355030
SP,350920,352590
SP,350920,354730
SP,350920,351640
SP,350920,350900
SP,350925,350540
SP,350925,351480
SP,350925,352460
SP,350930,353150
SP,350930,353570
SP,350930,355260
SP,350930,351495
SP,350930,353390
SP,350930,355190
SP,350940,354760
SP,350940,353050
SP,350940,351090
SP,350940,355090
SP,350940,355330
SP,350940,354625
SP,350940,350100
SP,350940,354790
SP,350945,350220
SP,350945,350800
SP,350945,352230
SP,350950,355240
SP,350950,355620
SP,350950,353180
SP,350950,352400
SP,350950,353650
SP,350950,352470
SP,350950,351907
SP,350950,353710
SP,350950,352050
SP,350950,353200
SP,350960,355650
SP,350960,350410
SP,350960,352590
SP,350960,351630
SP,350960,351640
SP,350960,352520
SP,350970,354860
SP,350970,353800
SP,350970,351840
SP,350970,354820
SP,350980,351950
SP,350980,351470
SP,350980,353970
SP,350980,354320
SP,350980,353370
SP,350980,352900
SP,350980,355050
SP,350990,352042
SP,350990,352030
SP,350990,350540
SP,350990,353620
SP,350990,352460
SP,350995,350860
SP,350995,352720
SP,351000,351610
SP,351000,350400
SP,351000,353970
SP,351000,355395
SP,351000,353530
SP,351010,353130
SP,351010,355370
SP,351010,351560
SP,351015,354640
SP,351015,353470
SP,351015,355720
SP,351020,351760
SP,351020,354325
SP,351020,351480
SP,351020,355020
SP,351020,350800
SP,351020,355385
SP,351020,352240
SP,351020,352230
SP,351020,355180
SP,351030,352100
SP,351030,350075
SP,351030,355110
SP,351030,350290
SP,351030,355400
SP,351030,352230
SP,351040,354060
SP,351040,354580
SP,351040,353090
SP,351040,354400
SP,351040,354210
SP,351040,353180
SP,351040,351490
SP,351050,353230
SP,351050,355540
SP,351050,353560
SP,351050,355070
SP,351050,354500
SP,351060,352500
SP,351060,351300
SP,351060,353440
SP,351060,350570
SP,351070,354420
SP,351070,353690
SP,351070,353625
SP,351070,350120
SP,351070,353000
SP,351070,352820
SP,351070,354030
SP,351080,353050
SP,351080,355330
SP,351080,350030
SP,351080,352380
SP,351080,354970
SP,351080,355640
SP,351080,354630
SP,351090,353050
SP,351090,354790
SP,351090,350940
SP,351100,354930
SP,351100,352300
SP,351100,350210
SP,351100,353320
SP,351100,353640
SP,351110,355260
SP,351110,353570
SP,351110,352190
SP,351110,351495
SP,351110,353810
SP,351110,351492
SP,351110,352885
SP,351110,351120
SP,351110,353510
SP,351110,353325
SP,351120,355260
SP,351120,355560
SP,351120,351940
SP,351120,351110
SP,351120,351492
SP,351130,355560
SP,351130,351750
SP,351130,350460
SP,351130,351940
SP,351130,354080
SP,351130,354980
SP,351140,352860
SP,351140,350055
SP,351140,351925
SP,351140,353880
SP,351140,350450
SP,351140,352180
SP,351140,350310
SP,351150,352585
SP,351150,351160
SP,351150,352640
SP,351150,350700
SP,351150,355400
SP,351150,355450
SP,351160,354165
SP,351160,352640
SP,351160,355400
SP,351160,351150
SP,351160,353750
SP,351170,352360
SP,351170,355040
SP,351170,352110
SP,351170,353870
SP,351190,353770
SP,351190,350770
SP,351190,350640
SP,351190,352770
SP,351190,354840
SP,351190,351250
SP,351190,351650
SP,351200,353150
SP,351200,355440
SP,351200,350610
SP,351200,352420
SP,351200,350550
SP,351200,355190
SP,351210,351740
SP,351210,350550
SP,351220,350330
SP,351220,353080
SP,351220,351515
SP,351220,353070
SP,351230,350690
SP,351230,350230
SP,351230,352640
SP,351230,354050
SP,351230,353750
SP,351230,353870
SP,351240,350330
SP,351240,352690
SP,351240,354670
SP,351240,352140
SP,351250,350770
SP,351250,350640
SP,351250,350650
SP,351250,350775
SP,351250,351190
SP,351250,351710
SP,351260,355300
SP,351260,355380
SP,351260,352280
SP,351260,352180
SP,351260,352170
SP,351260,351540
SP,351270,350330
SP,351270,352360
SP,351270,350200
SP,351270,352670
SP,351270,354620
SP,351270,354390
SP,351280,352690
SP,351280,353650
SP,351280,350160
SP,351280,350380
SP,351280,351905
SP,351290,350120
SP,351290,350180
SP,351290,355130
SP,351290,355710
SP,351290,355340
SP,351290,353500
SP,351300,353440
SP,351300,352220
SP,351300,354995
SP,351300,352250
SP,351300,351060
SP,351300,355645
SP,351300,355030
SP,351300,355280
SP,351300,352500
SP,351300,355060
SP,351300,351500
SP,351300,351970
SP,351310,351885
SP,351310,355090
SP,351310,355140
SP,351310,355150
SP,351310,352760
SP,351310,354340
SP,351320,351620
SP,351320,354310
SP,351320,353700
SP,351320,352540
SP,351330,352880
SP,351330,351610
SP,351330,355395
SP,351330,353715
SP,351340,355200
SP,351340,350860
SP,351340,352660
SP,351340,353850
SP,351350,354870
SP,351350,355100
SP,351350,354780
SP,351350,354850
SP,351360,355540
SP,351360,355000
SP,351360,355200
SP,351360,352630
SP,351360,352720
SP,351360,350350
SP,351360,351840
SP,351360,354960
SP,351370,354750
SP,351370,354070
SP,351370,354890
SP,351370,350200
SP,351370,352760
SP,351370,353930
SP,351380,354870
SP,351380,355030
SP,351385,352480
SP,351385,353520
SP,351385,354900
SP,351385,354025
SP,351385,350420
SP,351390,350870
SP,351390,355080
SP,351390,354970
SP,351400,355370
SP,351400,352930
SP,351400,351860
SP,351400,354650
SP,351400,353205
SP,351410,352530
SP,351410,355470
SP,351410,355010
SP,351410,350790
SP,351410,354700
SP,351410,350750
SP,351410,351430
SP,351410,352980
SP,351420,355530
SP,351420,352480
SP,351420,353590
SP,351420,355695
SP,351430,351410
SP,351430,352530
SP,351430,350670
SP,351430,350680
SP,351430,354290
SP,351430,355475
SP,351430,350790
SP,351440,353830
SP,351440,352600
SP,351440,354150
SP,351440,354323
SP,351440,353480
SP,351440,355510
SP,351450,351565
SP,351450,350600
SP,351450,351660
SP,351450,350430
SP,351450,352750
SP,351450,350830
SP,351450,353940
SP,351460,350560
SP,351460,351885
SP,351460,354340
SP,351460,354090
SP,351460,355170
SP,351470,353450
SP,351470,353970
SP,351470,353410
SP,351470,350980
SP,351470,350400
SP,351470,354000
SP,351470,352790
SP,351470,352900
SP,351480,354260
SP,351480,352120
SP,351480,351020
SP,351480,354325
SP,351480,352460
SP,351480,350540
SP,351480,350925
SP,351480,355180
SP,351490,354060
SP,351490,354520
SP,351490,352390
SP,351490,353180
SP,351490,352050
SP,351490,351040
SP,351492,352885
SP,351492,351120
SP,351492,351940
SP,351492,351110
SP,351492,355600
SP,351495,353570
SP,351495,355260
SP,351495,351110
SP,351495,353325
SP,351495,350930
SP,351500,351300
SP,351500,352220
SP,351500,355280
SP,351500,355030
SP,351510,352620
SP,351510,354995
SP,351510,352220
SP,351510,355030
SP,351512,354120
SP,351512,351580
SP,351512,352600
SP,351512,354830
SP,351512,354323
SP,351515,350330
SP,351515,352690
SP,351515,350380
SP,351515,353080
SP,351515,351220
SP,351518,355730
SP,351518,350030
SP,351518,353070
SP,351518,354910
SP,351518,352260
SP,351518,354810
SP,351519,354640
SP,351519,353657
SP,351519,350070
SP,351520,355530
SP,351520,352480
SP,351520,354025
SP,351520,351800
SP,351520,354920
SP,351520,355695
SP,351520,351550
SP,351530,354550
SP,351530,353920
SP,351530,355390
SP,351535,354425
SP,351535,355430
SP,351540,355120
SP,351540,355420
SP,351540,355460
SP,351540,355300
SP,351540,352280
SP,351540,353880
SP,351540,351260
SP,351540,350500
SP,351550,353690
SP,351550,354925
SP,351550,352820
SP,351550,351800
SP,351550,351520
SP,351550,354920
SP,351550,352960
SP,351560,353130
SP,351560,355370
SP,351560,352270
SP,351560,351010
SP,351560,350370
SP,351560,354560
SP,351565,352750
SP,351565,351450
SP,351565,351660
SP,351570,355250
SP,351570,352940
SP,351570,354330
SP,351570,353980
SP,351570,355030
SP,351580,352600
SP,351580,352160
SP,351580,354830
SP,351580,353490
SP,351580,354140
SP,351580,351512
SP,351580,351600
SP,351590,353260
SP,351590,351680
SP,351590,352830
SP,351590,355710
SP,351600,351580
SP,351600,350010
SP,351600,352890
SP,351600,353490
SP,351600,354140
SP,351600,355630
SP,351600,352650
SP,351610,355395
SP,351610,351330
SP,351610,351000
SP,351610,353715
SP,351620,353630
SP,351620,354270
SP,351620,351320
SP,351620,354310
SP,351620,354950
SP,351620,350590
SP,351630,350960
SP,351630,351640
SP,351630,350410
SP,351640,350960
SP,351640,350410
SP,351640,352590
SP,351640,351630
SP,351640,352850
SP,351640,350920
SP,351640,350900
SP,351650,353770
SP,351650,350280
SP,351650,350640
SP,351650,351820
SP,351650,351190
SP,351660,351565
SP,351660,350430
SP,351660,352750
SP,351660,350150
SP,351660,351450
