id,name,description,cod_mun6,municipio_geo,estado,municipio,casos_acumulados,pop_pessoa_ano,pop_media,incidencia_media_anual,incidencia_mediana_anual,incidencia_max_anual,anos_com_casos,anos_zero,incidencia_periodo_100mil_pessoa_ano,log_casos_acumulados_mais1,log_inc_periodo_mais1,gi_z,gi_p,classe_gi,estado_analise,contexto_analise,variavel_analise
3526001,Junqueirópolis,Junqueirópolis,352600,JUNQUEIROPOLIS,SP,JUNQUEIROPOLIS,583,456673,19028.041666666668,125.136749487607,112.03681683913985,350.0405844155844,24,0,127.6624630753296,6.369900982828227,4.857192409864039,0.648745824793474,0.07,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3526100,Juquiá,Juquiá,352610,JUQUIA,SP,JUQUIA,203,449681,18736.708333333332,45.74876421392594,39.01073095685486,107.61823845935996,24,0,45.143112562016185,5.318119993844216,3.8317477095517547,0.21469787895223005,0.163,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3526209,Juquitiba,Juquitiba,352620,JUQUITIBA,SP,JUQUITIBA,255,668792,27866.333333333332,38.22698506283596,36.03134666229647,74.98125468632841,24,0,38.12844651251809,5.545177444479562,3.6668497347574607,0.2188051565234189,0.164,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3526308,Lagoinha,Lagoinha,352630,LAGOINHA,SP,LAGOINHA,29,118897,4954.041666666667,24.30078651150522,20.389463912374154,101.11223458038423,16,8,24.3908593152056,3.4011973816621555,3.234389239775836,-0.10113466574114233,0.418,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3526407,Laranjal Paulista,Laranjal Paulista,352640,LARANJAL PAULISTA,SP,LARANJAL PAULISTA,239,601376,25057.333333333332,39.39638369383002,34.7267445225898,81.28507838203987,24,0,39.742191241419675,5.480638923341991,3.707264195346837,-0.1314334854514556,0.42,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3526506,Lavínia,Lavínia,352650,LAVINIA,SP,LAVINIA,1240,200648,8360.333333333334,575.9487666179703,609.7042613738697,1473.2766964189698,24,0,617.9976874925242,7.123672785204607,6.428101536801243,2.780874028385192,0.015,Hot spot,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3526605,Lavrinhas,Lavrinhas,352660,LAVRINHAS,SP,LAVRINHAS,20,160621,6692.541666666667,12.387756957769284,6.9725282387393674,56.5690849950502,12,12,12.451671948250851,3.044522437723423,2.5991034067423344,-0.14797350752368285,0.333,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3526704,Leme,Leme,352670,LEME,SP,LEME,744,2210224,92092.66666666667,33.9414467882746,31.696562137646296,52.948028568402975,24,0,33.661746501712045,6.61338421837956,3.545636672565325,-0.15674817696451399,0.383,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3526803,Lençóis Paulista,Lençóis Paulista,352680,LENCOIS PAULISTA,SP,LENCOIS PAULISTA,417,1490540,62105.833333333336,27.927464663375243,26.46836693058152,49.73577867578489,24,0,27.976438069424507,6.035481432524756,3.366483019380742,-0.16787103622980168,0.353,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3526902,Limeira,Limeira,352690,LIMEIRA,SP,LIMEIRA,2108,6647924,276996.8333333333,31.722124176789325,31.90356406483647,40.56822111675667,24,0,31.709147096146104,7.653969180478774,3.487654766497596,-0.1552479859033351,0.371,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3527009,Lindóia,Lindóia,352700,LINDOIA,SP,LINDOIA,18,157363,6556.791666666667,11.293267998765728,14.362849751120951,42.7715996578272,14,10,11.438521126313047,2.9444389791664403,2.5207981997227247,-0.2314281853138103,0.386,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3527108,Lins,Lins,352710,LINS,SP,LINS,602,1720562,71690.08333333333,34.935651823547836,36.122135102362705,51.79751371934147,24,0,34.98856768892954,6.401917196727186,3.5832013238255214,0.27819661597812234,0.124,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3527207,Lorena,Lorena,352720,LORENA,SP,LORENA,706,1983615,82650.625,35.51742345932909,36.18091618667616,49.44584474004752,24,0,35.59158405234887,6.561030665896573,3.5998182700412684,-0.21284684071691762,0.193,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3527256,Lourdes,Lourdes,352725,LOURDES,SP,LOURDES,2,49023,2042.625,4.129419122245522,0.0,51.282051282051285,2,22,4.079717683536299,1.0986122886681098,1.625255685939065,-0.29579474318025517,0.247,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3527306,Louveira,Louveira,352730,LOUVEIRA,SP,LOUVEIRA,137,950360,39598.333333333336,15.226724626226412,13.681292965679813,33.56943838329585,24,0,14.41558988172903,4.927253685157205,2.735379327341545,-0.17650567249580437,0.454,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3527405,Lucélia,Lucélia,352740,LUCELIA,SP,LUCELIA,421,472000,19666.666666666668,88.38432411893426,63.09156957105121,315.45741324921136,24,0,89.19491525423729,6.045005314036012,4.501973053575379,0.7476469235993786,0.048,Hot spot,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
