estado,cod_mun6,municipio,casos_acumulados,pop_pessoa_ano,pop_media,incidencia_media_anual,incidencia_mediana_anual,incidencia_max_anual,anos_com_casos,anos_zero,incidencia_periodo_100mil_pessoa_ano,log_casos_acumulados_mais1,log_inc_periodo_mais1,inc_raw,inc_eb_global,inc_eb_spatial,reducao_%
SP,350925,CAJATI,283,687079,28628.291666666668,41.22494134452936,36.42192851662935,91.18008065930212,24,0,41.18885892306416,5.648974238161206,3.7421561796236382,41.18885892306416,41.23741455703037,40.588091918243734,-1.4585667593816734
SP,354340,RIBEIRAO PRETO,6127,14878291,619928.7916666666,41.13564799961925,42.4680001265775,51.36654535951325,24,0,41.18080497282921,8.720623711420426,3.741965259098712,41.18080497282921,41.183065460009615,41.16590387633281,-0.03618456828667278
SP,354140,PRESIDENTE PRUDENTE,2081,5062902,210954.25,41.19262958210569,40.33584391581184,60.70511323838431,24,0,41.10290896406843,7.641084249174914,3.740116834834972,41.10290896406843,41.1096240624906,41.10086003679836,-0.004984871683572256
SP,352040,ILHABELA,286,699677,29153.20833333333,41.001298977500674,38.077509052522686,74.32079055300174,24,0,40.876004213372745,5.659482215759621,3.7347129710725575,40.876004213372745,40.92590255330026,40.876004213372745,0.0
SP,355220,SOROCABA,5987,14833411,618058.7916666666,40.66458326504479,41.46199034521979,49.5050409284296,24,0,40.361586421356485,8.69751274553952,3.722352585880361,40.361586421356485,40.36412865904266,40.3561472798285,-0.013476035037881038
SP,353980,POA,1000,2482339,103430.79166666669,40.40088738636046,40.417992117053146,65.09878482268331,24,0,40.284586432393,6.90875477931522,3.720489220437433,40.284586432393,40.29990659946583,41.57364365684333,3.199877021484812
SP,350110,ALTO ALEGRE,39,96987,4041.125,41.56190774887269,11.95886151638364,362.50647332988086,12,12,40.21157474713106,3.688879454113936,3.718719157363444,40.21157474713106,40.58885263385669,40.28320211042773,0.17812623292446597
SP,354060,PORTO FELIZ,491,1224336,51014.0,38.94785870092011,32.229691187994845,98.93831576544008,24,0,40.10337031664511,6.198478716492308,3.71609012097822,40.103370316645105,40.135102199564855,40.04252918076754,-0.151710779909973
SP,351630,FRANCISCO MORATO,1485,3710450,154602.08333333334,39.76264683516762,36.95635872780467,61.36511072019263,24,0,40.02209974531391,7.303843225277705,3.714110939664579,40.02209974531391,40.032707719210286,40.03708587441017,0.037444634818322636
SP,355250,SUZANO,2602,6535592,272316.3333333333,39.82981267876465,37.39904411321238,54.77372413882336,24,0,39.81276677001869,7.864419904994565,3.70899494349354,39.81276677001869,39.81895209282526,39.7643124754229,-0.12170541895691993
SP,352640,LARANJAL PAULISTA,239,601376,25057.33333333333,39.39638369383002,34.7267445225898,81.28507838203987,24,0,39.74219124141968,5.480638923341991,3.707264195346837,39.742191241419675,39.809490006942525,39.72721689994563,-0.037678701164413395
SP,352940,MAUA,3811,9788727,407863.625,38.78356768624174,38.37454683181127,51.67726955241349,24,0,38.93253944052174,8.245909264774093,3.68719151636124,38.93253944052174,38.937117749121114,39.07166214052044,0.35734298866181746
SP,353550,PARAGUACU PAULISTA,386,994130,41422.083333333336,38.67650221094144,34.34646406439715,86.26473689255248,24,0,38.82791988975285,5.958424693029782,3.6845681711185936,38.82791988975285,38.87331988020633,38.82244111963669,-0.014110387915994803
SP,354680,SANTA ISABEL,467,1204974,50207.25,38.570916217892005,41.55616716267659,65.35570805220767,24,0,38.75602295153256,6.148468295917647,3.682761350415497,38.756022951532564,38.79380751936793,38.87426438513123,0.30509176276041605
SP,352310,ITAQUAQUECETUBA,3063,7913238,329718.25,38.836498393251176,39.093095286480185,50.45572330081342,24,0,38.70729023946961,8.027476530860483,3.681534804070636,38.70729023946961,38.71309460543119,38.88785769719784,0.4664947006393817
SP,352180,ITAI,222,573538,23897.416666666668,37.9850158603526,34.44728346397378,109.58046336881652,23,1,38.70711269349197,5.407171771460119,3.6815303326908593,38.70711269349197,38.786559068931545,38.58996378834889,-0.3026547241349246
SP,354980,SAO JOSE DO RIO PRETO,3920,10202244,425093.5,38.2883995301981,39.08636402168324,51.01554305330409,24,0,38.42291950672813,8.27410200229233,3.674347360542988,38.42291950672813,38.42756094985282,38.40382192319369,-0.049703624242022494
SP,352510,JARDINOPOLIS,359,937265,39052.708333333336,35.40625196119913,17.515965172239504,95.51098376313276,24,0,38.30293460227364,5.886104031450156,3.671299187900993,38.30293460227364,38.35384889243987,38.21483979953131,-0.22999491724870758
SP,352620,JUQUITIBA,255,668792,27866.33333333333,38.22698506283596,36.03134666229647,74.98125468632841,24,0,38.12844651251809,5.545177444479562,3.6668497347574607,38.12844651251809,38.20093780753172,46.149678505384536,21.037395243031913
SP,355410,TAUBATE,2596,6814135,283922.2916666667,38.03281746343979,38.0555938800436,48.62767760554497,24,0,38.09727867146747,7.862112211662748,3.6660528653739775,38.09727867146747,38.104464027549845,38.0982791352934,0.0026260768769320536
SP,350275,ARACARIGUAMA,159,418881,17453.375,36.35897500600331,31.390060021658982,76.68711656441718,24,0,37.95827454575405,5.075173815233827,3.6624911899536094,37.958274545754044,38.07550636139701,38.01556623131853,0.1509333241568401
SP,350400,ASSIS,868,2305068,96044.5,37.5551996135093,36.524442852064126,57.74783445620789,24,0,37.65615591383855,6.767343125265392,3.654706035671314,37.65615591383855,37.67831750289515,37.56385394146825,-0.24511788346505098
SP,351980,ICEM,67,179171,7465.458333333333,36.55631217553236,20.84387928478957,168.87503247596777,16,8,37.39444441343744,4.219507705176107,3.647912772393593,37.39444441343744,37.67952382321319,34.32789582417421,-8.200545929654952
SP,352000,IGARACU DO TIETE,207,555608,23150.33333333333,37.2736207558328,36.64049789181567,68.28851899274434,24,0,37.256482988005935,5.337538079701318,3.6443130357932656,37.256482988005935,37.35135575021343,36.042848829511605,-3.2575113407377656
SP,355500,TUPA,560,1528847,63701.958333333336,36.679288644838174,38.5064449546804,67.78805984266864,24,0,36.62891054500548,6.329720905522696,3.627772652419174,36.62891054500548,36.66562229844301,36.49119622550259,-0.3759716504089928
SP,352900,MARILIA,1939,5302113,220921.375,36.18900635702092,36.02720757511855,58.16361601438228,24,0,36.57032583047551,7.570443252057374,3.626214532172053,36.57032583047551,36.5809910262006,36.57243306595407,0.005762145758093237
SP,354150,PRESIDENTE VENCESLAU,323,885124,36880.16666666666,36.55996373894924,37.86824477874257,68.86103842445945,24,0,36.492062129148,5.780743515792329,3.624129234013668,36.492062129148,36.55608939515879,36.53924915718417,0.129307650165594
SP,351480,ELDORADO,122,335685,13986.875,36.81759306243697,31.93144904209808,99.47203305532176,24,0,36.34359593070885,4.812184355372417,3.620161435852506,36.343595930708844,36.51305937545121,36.521269714520884,0.4888723288438078
SP,355120,SARUTAIA,32,88244,3676.8333333333335,36.105623456408175,27.281420411191405,162.9106706489275,18,6,36.26308870858075,3.49650756146648,3.618003257834926,36.26308870858075,36.88665548066736,26.80533443685745,-26.080939623560973
SP,352590,JUNDIAI,3370,9301330,387555.4166666667,36.86471546999534,36.209102229721694,54.60796666168382,24,0,36.2313776631944,8.12296471523406,3.617151891314801,36.2313776631944,36.23764104418207,36.23179333165059,0.0011472609737781653
SP,350450,AVARE,732,2048631,85359.625,35.96405960757843,35.497704051988975,52.69672422456158,24,0,35.73117852849049,6.597145701886651,3.603625945581197,35.73117852849049,35.76077503122583,35.7276597710203,-0.009847862889223388
SP,352720,LORENA,706,1983615,82650.625,35.51742345932909,36.18091618667616,49.44584474004752,24,0,35.59158405234887,6.561030665896573,3.5998182700412684,35.59158405234887,35.62249774298989,35.420239481393544,-0.4814187834497888
